Years,prodValues,prodType,totalComp,totalProd,subType,state
2039,3151842.811,Oil Production,12628284.23,14317147.45,Prediction,Texas
2040,3060713.439,Oil Production,12481078.1,14291718.47,Prediction,Texas
1960,6602696,Gas Production,4416216,12058639,Actual,Texas
1961,6682140,Gas Production,4447880,12208006,Actual,Texas
1962,6812787,Gas Production,4640675,12357635,Actual,Texas
1963,6952455,Gas Production,4894089,12693749,Actual,Texas
1964,7311876,Gas Production,5012683,13123816,Actual,Texas
1965,7436127,Gas Production,5212184,13319750,Actual,Texas
1966,7746648,Gas Production,5557255,13954680,Actual,Texas
1967,7934585,Gas Production,5879030,14492080,Actual,Texas
1968,8271293,Gas Production,6268911,14918671,Actual,Texas
1969,8654795,Gas Production,6656323,15411603,Actual,Texas
1970,9213703,Gas Production,6921781,16540958,Actual,Texas
1971,9438928,Gas Production,7233774,16610783,Actual,Texas
1972,9550844,Gas Production,7623194,17208895,Actual,Texas
1973,9375616,Gas Production,8241366,17050819,Actual,Texas
1974,9006053,Gas Production,8093721,16502656,Actual,Texas
1975,8282525,Gas Production,7511439,15583828,Actual,Texas
1976,7974291,Gas Production,7835920,15124174,Actual,Texas
1977,7830026,Gas Production,8475779,14716565,Actual,Texas
1978,7085791,Gas Production,8941144,13652863,Actual,Texas
1979,7409524,Gas Production,9308055,13741121,Actual,Texas
1980,7228720,Gas Production,9385670,13294899,Actual,Texas
1981,6967250,Gas Production,9147556,12864237,Actual,Texas
1982,6380060,Gas Production,8471394,12176971,Actual,Texas
1983,5834372,Gas Production,8406461,11524121,Actual,Texas
1984,6098210,Gas Production,8946242,11822952,Actual,Texas
1985,6038458,Gas Production,9011817,11748188,Actual,Texas
1986,5902400,Gas Production,9007599,11381901,Actual,Texas
1987,5671833,Gas Production,9240071,10842369,Actual,Texas
1988,5787320,Gas Production,9811771,10860430,Actual,Texas
1989,5638965,Gas Production,10093725,10536806,Actual,Texas
1990,5653163,Gas Production,10272320,10578173,Actual,Texas
1991,5644617,Gas Production,10278273,10605768,Actual,Texas
1992,5611228,Gas Production,10445158,10460686,Actual,Texas
1993,5727099,Gas Production,10554352,10248337,Actual,Texas
1994,5825006,Gas Production,10879574,10325858,Actual,Texas
1995,5822544,Gas Production,11070854,10230734,Actual,Texas
1996,5898493,Gas Production,11832246,10245577,Actual,Texas
1997,5883165,Gas Production,12237335,10197964,Actual,Texas
1998,6002817,Gas Production,12418135,10122789,Actual,Texas
1999,5767547,Gas Production,12077034,9523222,Actual,Texas
2000,5989538,Gas Production,12420851,9681342,Actual,Texas
2001,5971835,Gas Production,12200928,9506522,Actual,Texas
2002,5844637,Gas Production,12508396,9272256,Actual,Texas
2003,5902223,Gas Production,12295541,9284751,Actual,Texas
2004,5764490,Gas Production,12333678,9157192,Actual,Texas
2005,5973867,Gas Production,11858030,9383076,Actual,Texas
2006,6249274,Gas Production,11864993,9701985,Actual,Texas
2007,6850716,Gas Production,11774259,10296092,Actual,Texas
2008,7711507,Gas Production,11251973,11305593,Actual,Texas
2009,7572107,Gas Production,10883320,11072953,Actual,Texas
2010,7549424,Gas Production,11681851,11387664,Actual,Texas
2011,8014144,Gas Production,11885388,12546132,Actual,Texas
2012,8523892,Gas Production,11944734,14159990,Actual,Texas
2013,8825436,Gas Production,12723430,15645926,Actual,Texas
2014,9366356,Gas Production,12733681,17599803,Actual,Texas
2015,9392314,Gas Production,12886742,18029185,Actual,Texas
2016,8659988,Gas Production,13089570,16962933,Actual,Texas
2017,8626259,Gas Production,13365864,17573176,Actual,Texas
2018,9450834.882,Gas Production,12833600.18,18170167.33,Prediction,Texas
2019,9733669.698,Gas Production,12852128.71,18029690.54,Prediction,Texas
2020,9778952.273,Gas Production,12729009.55,18057921.7,Prediction,Texas
2021,9798285.425,Gas Production,12798825.72,17907936.34,Prediction,Texas
2022,9942967.997,Gas Production,12669489.85,17647836.46,Prediction,Texas
2023,10301225.4,Gas Production,12460054.14,17326647.16,Prediction,Texas
2024,10779144.9,Gas Production,12258208.22,16799567.03,Prediction,Texas
2025,10917360.54,Gas Production,12162773.03,16359032.8,Prediction,Texas
2026,10767556.09,Gas Production,11943806.87,16217620.54,Prediction,Texas
