Years,prodValues,prodType,totalComp,totalProd,subType,state
2036,1046497.776,Oil Production,7719422.034,2336572.983,Predicted,California
2037,1041799.763,Oil Production,7724111.04,2355270.334,Predicted,California
2038,1052128.033,Oil Production,7719402.131,2302873.66,Predicted,California
2039,1031884.502,Oil Production,7710733.988,2340119.143,Predicted,California
2040,1038303.318,Oil Production,7711205.311,2330624.991,Predicted,California
1960,590504,Gas Production,3449919,2631707,Actual,California
1961,634667,Gas Production,3609108,2620632,Actual,California
1962,643771,Gas Production,3724117,2693123,Actual,California
1963,737636,Gas Production,3923736,2845524,Actual,California
1964,757678,Gas Production,4219633,2833855,Actual,California
1965,753494,Gas Production,4385719,3010487,Actual,California
1966,786837,Gas Production,4645217,3167320,Actual,California
1967,777108,Gas Production,4841003,3340273,Actual,California
1968,815688,Gas Production,5115122,3395904,Actual,California
1969,773239,Gas Production,5356783,3464304,Actual,California
1970,740638,Gas Production,5499139,3310500,Actual,California
1971,701427,Gas Production,5747656,3172161,Actual,California
1972,562637,Gas Production,5872011,2951080,Actual,California
1973,507744,Gas Production,6047069,2929685,Actual,California
1974,419744,Gas Production,5816324,2882164,Actual,California
1975,365735,Gas Production,6032845,2790403,Actual,California
1976,400688,Gas Production,6186312,2686499,Actual,California
1977,354013,Gas Production,6361466,2736117,Actual,California
1978,352532,Gas Production,6472696,2957101,Actual,California
1979,282666,Gas Production,6727621,2917314,Actual,California
1980,342529,Gas Production,6540472,2999587,Actual,California
1981,415048,Gas Production,6332205,3071793,Actual,California
1982,432864,Gas Production,6076050,3337623,Actual,California
1983,463728,Gas Production,6092316,3502204,Actual,California
1984,527247,Gas Production,6533180,3587630,Actual,California
1985,546252,Gas Production,6601489,3635369,Actual,California
1986,511561,Gas Production,6501121,3648616,Actual,California
1987,469061,Gas Production,6938475,3424311,Actual,California
1988,444625,Gas Production,7143783,3342016,Actual,California
1989,404886,Gas Production,7420327,3409250,Actual,California
1990,401448,Gas Production,7443750,3278496,Actual,California
1991,414390,Gas Production,7342269,3252353,Actual,California
1992,402577,Gas Production,7308211,3186979,Actual,California
1993,352853,Gas Production,7146526,3205282,Actual,California
1994,340415,Gas Production,7273603,2985941,Actual,California
1995,308580,Gas Production,7297478,3090625,Actual,California
1996,320843,Gas Production,7422343,3134670,Actual,California
1997,314186,Gas Production,7538784,3048656,Actual,California
1998,350247,Gas Production,7831111,3191189,Actual,California
1999,411088,Gas Production,7852568,3103332,Actual,California
2000,391339,Gas Production,7921270,3067344,Actual,California
2001,408873,Gas Production,7955161,2875661,Actual,California
2002,394973,Gas Production,8008105,2925697,Actual,California
2003,373822,Gas Production,7892261,2903093,Actual,California
2004,356787,Gas Production,8260248,2762618,Actual,California
2005,354384,Gas Production,8166058,2808170,Actual,California
2006,351706,Gas Production,8289269,2800649,Actual,California
2007,343379,Gas Production,8260040,2618152,Actual,California
2008,331830,Gas Production,8075576,2519558,Actual,California
2009,310439,Gas Production,7774309,2491556,Actual,California
2010,320668,Gas Production,7760676,2534927,Actual,California
2011,280255,Gas Production,7768794,2639011,Actual,California
2012,278232,Gas Production,7549440,2319603,Actual,California
2013,287883,Gas Production,7638003,2370609,Actual,California
2014,271757,Gas Production,7584837,2383135,Actual,California
2015,271086,Gas Production,7672710,2350026,Actual,California
2016,234094,Gas Production,7819232,2423649,Actual,California
2017,236845,Gas Production,7881348,2535788,Actual,California
2018,243316.076,Gas Production,7770731.694,2380814.947,Predicted,California
2019,242025.617,Gas Production,7732100.754,2339708.597,Predicted,California
2020,231846.627,Gas Production,7696234.297,2292572.015,Predicted,California
2021,236704.622,Gas Production,7665910.94,2321092.47,Predicted,California
2022,225949.605,Gas Production,7705070.605,2304996.629,Predicted,California
2023,215997.846,Gas Production,7708754.082,2314855.465,Predicted,California
2024,207947.893,Gas Production,7714757.257,2323984.717,Predicted,California
2025,199916.543,Gas Production,7720130.461,2271944.839,Predicted,California
2026,198369.185,Gas Production,7704354.101,2302350.059,Predicted,California
2027,189605.968,Gas Production,7670336.305,2286677.72,Predicted,California
2028,192479.452,Gas Production,7664864.452,2302376.324,Predicted,California
2029,186927.913,Gas Production,7639362.499,2311954.841,Predicted,California
2030,185654.763,Gas Production,7614937.033,2312921.268,Predicted,California
2031,180913.716,Gas Production,7637474.32,2341000.155,Predicted,California
2032,176418.138,Gas Production,7672677.924,2287695.305,Predicted,California
2033,175008.743,Gas Production,7702755.523,2295211.594,Predicted,California
2034,174650.135,Gas Production,7730107.58,2341472.471,Predicted,California
2035,174948.061,Gas Production,7745928.65,2300641.602,Predicted,California
2036,174215.306,Gas Production,7719422.034,2336572.983,Predicted,California
2037,176099.448,Gas Production,7724111.04,2355270.334,Predicted,California
2038,173923.022,Gas Production,7719402.131,2302873.66,Predicted,California
2039,176105.835,Gas Production,7710733.988,2340119.143,Predicted,California
2040,177623.447,Gas Production,7711205.311,2330624.991,Predicted,California
1960,270161,Renewable Energy Production,3449919,2631707,Actual,California
1961,248178,Renewable Energy Production,3609108,2620632,Actual,California
1962,329046,Renewable Energy Production,3724117,2693123,Actual,California
1963,360333,Renewable Energy Production,3923736,2845524,Actual,California
1964,331757,Renewable Energy Production,4219633,2833855,Actual,California
1965,418518,Renewable Energy Production,4385719,3010487,Actual,California
1966,375877,Renewable Energy Production,4645217,3167320,Actual,California
1967,473192,Renewable Energy Production,4841003,3340273,Actual,California
1968,397366,Renewable Energy Production,5115122,3395904,Actual,California
1969,544918,Renewable Energy Production,5356783,3464304,Actual,California
1970,521978,Renewable Energy Production,5499139,3310500,Actual,California
1971,533790,Renewable Energy Production,5747656,3172161,Actual,California
1972,472312,Renewable Energy Production,5872011,2951080,Actual,California
1973,553162,Renewable Energy Production,6047069,2929685,Actual,California
1974,645073,Renewable Energy Production,5816324,2882164,Actual,California
1975,578578,Renewable Energy Production,6032845,2790403,Actual,California
1976,422852,Renewable Energy Production,6186312,2686499,Actual,California
1977,338073,Renewable Energy Production,6361466,2736117,Actual,California
1978,576601,Renewable Energy Production,6472696,2957101,Actual,California
1979,559806,Renewable Energy Production,6727621,2917314,Actual,California
1980,591928,Renewable Energy Production,6540472,2999587,Actual,California
1981,502232,Renewable Energy Production,6332205,3071793,Actual,California
1982,698981,Renewable Energy Production,6076050,3337623,Actual,California
1983,807128,Renewable Energy Production,6092316,3502204,Actual,California
1984,693614,Renewable Energy Production,6533180,3587630,Actual,California
1985,593488,Renewable Energy Production,6601489,3635369,Actual,California
1986,666981,Renewable Energy Production,6501121,3648616,Actual,California
1987,522673,Renewable Energy Production,6938475,3424311,Actual,California
1988,512100,Renewable Energy Production,7143783,3342016,Actual,California
1989,738917,Renewable Energy Production,7420327,3409250,Actual,California
1990,669326,Renewable Energy Production,7443750,3278496,Actual,California
1991,653513,Renewable Energy Production,7342269,3252353,Actual,California
1992,642293,Renewable Energy Production,7308211,3186979,Actual,California
1993,820783,Renewable Energy Production,7146526,3205282,Actual,California
1994,633599,Renewable Energy Production,7273603,2985941,Actual,California
1995,846185,Renewable Energy Production,7297478,3090625,Actual,California
1996,817736,Renewable Energy Production,7422343,3134670,Actual,California
1997,760278,Renewable Energy Production,7538784,3048656,Actual,California
1998,832978,Renewable Energy Production,7831111,3191189,Actual,California
1999,760009,Renewable Energy Production,7852568,3103332,Actual,California
2000,736594,Renewable Energy Production,7921270,3067344,Actual,California
2001,608031,Renewable Energy Production,7955161,2875661,Actual,California
2002,676209,Renewable Energy Production,8008105,2925697,Actual,California
2003,719373,Renewable Energy Production,7892261,2903093,Actual,California
2004,697397,Renewable Energy Production,8260248,2762618,Actual,California
2005,741140,Renewable Energy Production,8166058,2808170,Actual,California
2006,821968,Renewable Energy Production,8289269,2800649,Actual,California
2007,631941,Renewable Energy Production,8260040,2618152,Actual,California
2008,603931,Renewable Energy Production,8075576,2519558,Actual,California
2009,646780,Renewable Energy Production,7774309,2491556,Actual,California
2010,715550,Renewable Energy Production,7760676,2534927,Actual,California
2011,837314,Renewable Energy Production,7768794,2639011,Actual,California
2012,703607,Renewable Energy Production,7549440,2319603,Actual,California
2013,741782,Renewable Energy Production,7638003,2370609,Actual,California
2014,746468,Renewable Energy Production,7584837,2383135,Actual,California
2015,734669,Renewable Energy Production,7672710,2350026,Actual,California
2016,927056,Renewable Energy Production,7819232,2423649,Actual,California
2017,1115301,Renewable Energy Production,7881348,2535788,Actual,California
2018,862814.955,Renewable Energy Production,7770731.694,2380814.947,Predicted,California
2019,848008.259,Renewable Energy Production,7732100.754,2339708.597,Predicted,California
2020,866928.27,Renewable Energy Production,7696234.297,2292572.015,Predicted,California
2021,855163.521,Renewable Energy Production,7665910.94,2321092.47,Predicted,California
2022,806008.819,Renewable Energy Production,7705070.605,2304996.629,Predicted,California
2023,829557.957,Renewable Energy Production,7708754.082,2314855.465,Predicted,California
2024,726644.647,Renewable Energy Production,7714757.257,2323984.717,Predicted,California
2025,645921.998,Renewable Energy Production,7720130.461,2271944.839,Predicted,California
2026,734119.422,Renewable Energy Production,7704354.101,2302350.059,Predicted,California
2027,764128.821,Renewable Energy Production,7670336.305,2286677.72,Predicted,California
2028,730720.491,Renewable Energy Production,7664864.452,2302376.324,Predicted,California
2029,695719.966,Renewable Energy Production,7639362.499,2311954.841,Predicted,California
2030,746086,Renewable Energy Production,7614937.033,2312921.268,Predicted,California
2031,708372.191,Renewable Energy Production,7637474.32,2341000.155,Predicted,California
2032,727895.723,Renewable Energy Production,7672677.924,2287695.305,Predicted,California
2033,834057.098,Renewable Energy Production,7702755.523,2295211.594,Predicted,California
2034,842489.434,Renewable Energy Production,7730107.58,2341472.471,Predicted,California
2035,709899.78,Renewable Energy Production,7745928.65,2300641.602,Predicted,California
2036,770054.766,Renewable Energy Production,7719422.034,2336572.983,Predicted,California
2037,827386.172,Renewable Energy Production,7724111.04,2355270.334,Predicted,California
2038,829848.063,Renewable Energy Production,7719402.131,2302873.66,Predicted,California
2039,897471.777,Renewable Energy Production,7710733.988,2340119.143,Predicted,California
2040,882994.209,Renewable Energy Production,7711205.311,2330624.991,Predicted,California
